host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bedrooms,bathrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews
100%,100%,1,Washington,DC,20008,38.93901126,-77.06076266,2,1,1,1,$89.00,,,1,1125,0
80%,100%,2,Washington,DC,20008,38.9489456,-77.06057072,2,1,1,1,$99.00,,$50.00,1,1125,11
N/A,N/A,1,Washington,DC,20008,38.94352109,-77.06074139,2,0,1,1,$150.00,,,15,31,0
100%,100%,1,Washington,DC,20008,38.95371239,-77.0694239,3,0,1,1,$75.00,,,5,1125,0
83%,100%,1,Washington,DC,20008,38.94555529,-77.06026641,2,1,1,1,$66.00,,$60.00,1,1125,2
100%,N/A,1,Washington,DC,20008,38.94487965,-77.06388274,3,1,1,2,$110.00,,,3,1125,0
70%,70%,1,Washington,DC,20008,38.95237388,-77.06796679,2,0,1,1,$100.00,,,1,1125,3
98%,52%,49,Washington,DC,20008,38.95466975,-77.06439792,2,1,1,1,$165.00,,,2,14,0
100%,100%,1,Washington,DC,20008,38.94435788,-77.06222086,2,1,1,1,$75.00,,$6.00,2,30,4
100%,62%,1,Washington,DC,20008,38.9500322,-77.06766149,3,0,1,1,$102.00,,$50.00,3,1125,8
N/A,N/A,1,Washington,DC,20008,38.94934596,-77.05946245,2,1,,,$190.00,,,2,14,0
100%,N/A,1,Washington,DC,20008,38.9512207,-77.0688426,3,0,1,1,$84.00,$500.00,$60.00,1,1125,0
100%,100%,1,Washington,DC,20008,38.95182514,-77.0592448,4,2,1,2,$110.00,,$25.00,1,1125,1
100%,N/A,1,Washington,DC,20015,38.95693364,-77.06206281,6,4,2.5,3,$350.00,$350.00,$250.00,4,1125,0
N/A,N/A,1,Washington,DC,20008,38.94034442,-77.05936666,4,1,1,1,"$1,000.00",,,2,1125,0
60%,85%,1,Washington,DC,20008,38.95057155,-77.06563591,2,0,1,1,$85.00,,$15.00,1,20,13
75%,100%,1,Washington,DC,20008,38.94411054,-77.06152751,4,1,1,2,$85.00,,$15.00,1,1125,1
83%,33%,1,Washington,DC,20008,38.95392583,-77.06738536,4,1,1,1,$110.00,,$50.00,1,14,15
90%,56%,1,Washington,DC,20008,38.94036796,-77.05958786,4,0,1,1,$92.00,,$10.00,1,1125,10
67%,100%,1,Washington,DC,20008,38.94249513,-77.06204425,2,1,1,1,$75.00,,$15.00,1,5,9
70%,89%,1,Washington,DC,20008,38.95134422,-77.06678197,2,1,1,1,$50.00,,,1,1125,35
N/A,N/A,1,Washington,DC,20008,38.94094845,-77.06030381,4,1,1,2,$125.00,,,1,1125,1
N/A,N/A,1,Washington,DC,20008,38.94915577,-77.06573831,3,1,1,1,$300.00,,,1,3,0
50%,N/A,1,Washington,DC,20008,38.94196419,-77.06045825,1,1,1,1,$45.00,,,1,1125,0
N/A,N/A,1,Washington,DC,20008,38.94922729,-77.06666678,4,1,1,1,$110.00,$500.00,$30.00,1,1125,5
100%,80%,1,Washington,DC,20008,38.94241366,-77.06268748,4,2,1,2,$158.00,,$30.00,1,1125,1
90%,25%,1,Washington,DC,20008,38.94878624,-77.06689623,2,1,1,1,$130.00,,,1,1125,3
97%,100%,8,Washington,DC,20008,38.9462638,-77.06140226,5,2,2,4,$150.00,$250.00,$70.00,4,1125,0
N/A,N/A,1,"Washington, D.C.",DC,20008,38.95157101,-77.0676764,1,1,1,1,$120.00,,,1,25,0
100%,80%,1,Washington,DC,20016,38.94779525,-77.07958352,4,1,1,2,$85.00,$500.00,$100.00,2,1125,4
N/A,N/A,1,Washington,DC,20008,38.9433402,-77.07275209,4,1,2,2,$105.00,,,2,1125,34
N/A,N/A,2,Washington,DC,20016,38.95243556,-77.08823877,7,3,2.5,5,$300.00,$300.00,$120.00,3,1125,3
100%,100%,1,Washington,DC,20016,38.94654344,-77.08966115,2,1,1,1,$103.00,$300.00,$100.00,14,1125,24
99%,89%,25,Washington,DC,20016,38.94221321,-77.08800868,7,3,2.5,3,$235.00,$500.00,$195.00,3,1125,15
90%,100%,2,Washington,DC,20016,38.94440156,-77.07477674,2,0,1,1,$85.00,$300.00,$50.00,4,365,7
100%,93%,1,Washington,DC,20016,38.94959716,-77.08301331,1,1,1,1,$50.00,,,1,1125,5
78%,33%,1,chevy chase,MD,20815,38.96002449,-77.08028256,2,1,1,1,$100.00,,,1,1125,0
100%,100%,3,Washington,DC,20015,38.96053643,-77.08333378,2,1,1,1,$92.00,,,3,21,84
100%,100%,2,Washington,DC,20016,38.95136904,-77.09161988,2,2,1,2,$85.00,$450.00,$40.00,1,1125,7
90%,92%,2,Washington,DC,20016,38.94819587,-77.0805032,2,1,1,1,$30.00,$100.00,$15.00,1,1125,2
100%,100%,1,Washington,DC,20016,38.95706247,-77.0867532,2,1,1.5,2,$90.00,,$10.00,2,14,61
86%,100%,3,Washington,DC,20016,38.94651884,-77.08857734,1,1,1,1,$49.00,,,1,1125,0
N/A,N/A,1,Washington,DC,20015,38.95717704,-77.09028844,2,0,1,1,$250.00,$200.00,$150.00,4,1125,1
86%,100%,1,Washington,DC,20016,38.9549959,-77.08885562,8,3,2.5,4,$225.00,$150.00,$100.00,3,90,0
90%,88%,1,Washington,DC,20016,38.95059967,-77.08584147,3,1,1.5,2,$128.00,,$50.00,1,365,8
100%,100%,3,"Washington, D.C.",DC,20015,38.96093899,-77.08446134,2,1,,1,$84.00,,,1,90,68
86%,100%,3,Washington,DC,20016,38.94672125,-77.08824852,1,1,1,1,$49.00,,,1,1125,0
100%,100%,1,Washington,DC,20016,38.95023007,-77.09172226,5,1,1,3,$99.00,$500.00,$60.00,2,1125,10
100%,100%,1,Washington,DC,20015,38.95798897,-77.0838808,2,1,1,1,$84.00,,$20.00,1,1125,34
100%,100%,2,Washington,DC,20016,38.95286158,-77.09179788,2,1,1,1,$86.00,,$40.00,1,1125,10
25%,100%,1,Washington,DC,20015,38.95778075,-77.08818592,2,1,1,1,$130.00,,$50.00,3,1125,0
100%,N/A,1,Washington,DC,20016,38.95535327,-77.07959602,1,1,1,1,$135.00,,,3,31,16
100%,86%,1,Washington,DC,20015,38.95870647,-77.08493642,3,1,1,1,$95.00,$100.00,$40.00,2,1125,16
100%,100%,1,Washington,DC,20016,38.95243043,-77.07163822,3,1,1,1,$119.00,,$75.00,1,1125,21
N/A,N/A,1,Washington,DC,20016,38.95341053,-77.08605422,2,1,1.5,1,$80.00,,$25.00,1,7,0
100%,100%,1,Washington,DC,20016,38.94526039,-77.07451873,2,1,1,1,$140.00,,,1,1125,8
100%,100%,3,Washington,DC,20015,38.95932001,-77.08388926,2,1,1,1,$84.00,,,1,29,3
86%,100%,3,Washington,DC,20016,38.94677585,-77.08792407,1,1,1,1,$50.00,,,1,1125,0
N/A,N/A,1,Washington,DC,20016,38.9482859,-77.07325427,4,2,3,2,$230.00,$300.00,$125.00,4,1125,20
100%,100%,6,Washington,DC,20011,38.96245879,-77.0227807,9,3,2,5,$215.00,$200.00,$105.00,1,1125,26
100%,N/A,1,Washington,DC,20012,38.97122017,-77.01536964,2,1,1,1,$77.00,,,1,1125,5
100%,63%,2,Washington,DC,20012,38.9776415,-77.02545457,2,1,0.5,1,$60.00,,,1,7,109
90%,80%,3,Washington,DC,20012,38.97733325,-77.02534842,3,1,1,1,$65.00,$200.00,$25.00,3,365,0
60%,100%,1,Washington,DC,20012,38.97387212,-77.02643328,8,3,2,5,$150.00,$100.00,$50.00,1,1125,0
100%,100%,1,Washington,DC,20012,38.97947358,-77.02299089,2,1,1,1,$64.00,,$15.00,2,1125,4
100%,N/A,1,Washington,DC,20012,38.97267086,-77.01820933,2,1,2.5,1,$125.00,$300.00,$50.00,7,45,1
100%,75%,1,Washington,DC,20012,38.97732487,-77.02330357,2,1,1.5,1,$60.00,,,1,1125,1
100%,100%,6,Washington,DC,20011,38.96448954,-77.02260118,15,5,3,9,$330.00,$200.00,$150.00,1,1125,6
100%,100%,3,Washington,DC,20011,38.96461849,-77.03195287,3,0,1,2,$65.00,$100.00,$60.00,2,1125,4
88%,100%,3,Washington,DC,20012,38.97480323,-77.02035415,6,2,1,4,$112.00,$100.00,$60.00,2,90,3
88%,100%,3,Washington,DC,20012,38.97574636,-77.02056269,3,1,1,2,$75.00,,$50.00,2,180,2
94%,100%,1,Washington,DC,20012,38.97291227,-77.0206312,2,1,1,2,$90.00,,,1,730,58
100%,100%,3,Washington,DC,20011,38.96480377,-77.03055697,6,3,1,3,$180.00,"$1,000.00",$60.00,1,1125,16
100%,100%,1,Washington,DC,20012,38.97388364,-77.02446717,2,1,1,1,$65.00,,$25.00,1,1125,3
100%,100%,2,Washington,DC,20011,38.95893252,-77.01167635,1,1,2,1,$55.00,,,3,180,22
100%,100%,2,Washington,DC,20011,38.96228378,-77.01856447,2,1,1,1,$75.00,,$10.00,1,1125,0
90%,100%,1,Washington,DC,20011,38.96698508,-77.01901481,2,1,1,1,$75.00,,$15.00,1,1125,7
50%,60%,1,Washington,DC,20012,38.96921662,-77.02439374,2,1,1,1,$68.00,,,2,14,29
100%,100%,1,Washington,DC,20011,38.96557716,-77.01286443,2,1,1,1,$65.00,$100.00,$50.00,1,30,2
50%,100%,1,Washington,DC,20011,38.96044475,-77.00875613,16,1,0.5,16,$10.00,,$5.00,1,2,0
100%,50%,3,"Washington, D.C.",DC,20011,38.96539729,-77.02842708,1,1,1,1,$70.00,,,4,240,3
100%,100%,1,Washington,DC,20012,38.98099948,-77.02426534,2,0,1,1,$80.00,,,1,1125,4
100%,100%,1,Washington,DC,20011,38.96140229,-77.01167819,4,1,1,2,$70.00,,,1,1125,1
100%,100%,1,Washington,DC,20012,38.97259173,-77.02567024,2,1,1,1,$65.00,,,2,1125,28
100%,100%,1,Washington,DC,20012,38.98096836,-77.0247279,3,1,1,2,$76.00,,$25.00,3,14,38
N/A,N/A,1,Washington,DC,20012,38.97374712,-77.01825053,2,1,1,1,$89.00,$100.00,,2,1125,0
80%,89%,2,Washington,DC,20011,38.96856889,-77.02328025,2,1,1,1,$45.00,$100.00,$50.00,2,1125,1
N/A,N/A,1,Washington,DC,20012,38.97396924,-77.01615125,4,2,1,2,$135.00,,,1,5,3
100%,100%,2,Washington,DC,20011,38.95738703,-77.01233852,1,1,1,1,$55.00,,,3,1125,14
100%,100%,1,Washington,DC,20011,38.96600754,-77.0351751,2,1,1,1,$65.00,$200.00,$30.00,1,1125,0
100%,63%,2,Washington,DC,20012,38.97650211,-77.02564556,5,0,1,1,$100.00,$95.00,,3,1125,0
100%,100%,1,Washington,DC,20011,38.96680265,-77.02118847,2,0,1,1,$95.00,,$60.00,5,1125,0
89%,100%,3,Washington,DC,20012,38.96836181,-77.02516601,1,1,1,1,$65.00,,,1,1125,7
84%,100%,4,Washington,DC,20012,38.9698879,-77.02161297,3,1,1,2,$82.00,,,1,1125,0
100%,100%,2,Washington,DC,20011,38.9600039,-77.02425427,2,1,1,1,$80.00,,,1,30,4
100%,93%,1,Washington,DC,20012,38.97073839,-77.02253651,2,1,1,1,$84.00,$250.00,,2,240,10
100%,100%,1,Washington,DC,20011,38.96962943,-77.02520737,3,1,3.5,1,$71.00,,$25.00,2,1125,58
100%,100%,6,Washington,DC,20011,38.96273588,-77.02283986,8,2,1,4,$155.00,$100.00,$75.00,2,1125,34
40%,88%,1,Washington,DC,20011,38.96588046,-77.03422225,2,,1,,$65.00,,,1,1125,3
100%,86%,1,Washington,DC,20011,38.96647892,-77.03228064,2,1,1,1,$60.00,$150.00,,3,14,62
60%,83%,1,Washington,DC,20012,38.96815871,-77.01988349,2,1,2.5,1,$55.00,,$5.00,1,1125,36
100%,50%,3,Washington,DC,20011,38.96518335,-77.02903795,1,1,1,1,$45.00,,,4,1125,0
100%,100%,1,Washington,DC,20011,38.95869759,-77.01812656,6,3,1,3,$215.00,$200.00,,2,30,41
100%,100%,1,Washington,DC,20011,38.95686202,-77.01126662,3,1,1,1,$89.00,$150.00,$125.00,1,1125,0
88%,100%,3,Washington,DC,20012,38.96995344,-77.01983532,4,1,1,2,$120.00,$250.00,$50.00,2,1825,2
63%,100%,1,Washington,DC,20011,38.96726971,-77.0241376,2,1,1,1,$37.00,$95.00,$25.00,2,1125,7
100%,100%,1,Washington,DC,20012,38.96799892,-77.02463253,2,1,1,1,$95.00,,,1,1125,0
100%,50%,3,Washington,DC,20011,38.96550684,-77.02973788,1,1,1,1,$45.00,,,4,1125,2
90%,80%,3,Washington,DC,20012,38.97574376,-77.02588318,4,1,1,1,$45.00,$150.00,$15.00,2,365,3
58%,72%,1,Washington,DC,20011,38.96125014,-77.02446721,2,1,1,1,$70.00,,$20.00,1,32,36
89%,100%,3,Washington,DC,20012,38.96773493,-77.02643887,1,1,1,1,$65.00,,,1,1125,6
94%,59%,2,Washington,DC,20011,38.95826627,-77.01750449,15,3,2,10,$180.00,,$100.00,1,1125,26
100%,100%,2,Washington,DC,20011,38.96237065,-77.01840801,2,1,1,1,$79.00,,$5.00,1,90,20
89%,100%,3,Washington,DC,20012,38.96871102,-77.02648591,1,1,0,1,$65.00,,,1,1125,1
67%,100%,1,Washington,DC,20011,38.96581442,-77.03461562,2,1,1,1,$45.00,,$25.00,1,7,1
80%,89%,2,Washington,DC,20011,38.96818732,-77.0221287,5,2,1.5,3,$70.00,$100.00,$55.00,2,1125,3
67%,N/A,1,Washington,DC,20011,38.96537969,-77.03212096,3,1,1,1,$100.00,,,2,1125,4
100%,N/A,1,Washington,DC,20011,38.96469078,-77.00496926,2,1,1,1,$120.00,$500.00,$50.00,1,1125,0
83%,97%,1,Washington,DC,20011,38.95730286,-77.00411136,1,1,1,1,$45.00,,,1,30,59
N/A,N/A,1,Washington,DC,20011,38.95352374,-77.0019278,1,1,1,1,$95.00,,,1,1125,0
N/A,N/A,2,Washington,DC,20011,38.96262047,-77.00668652,1,1,1,1,$125.00,,,2,1125,0
100%,100%,1,Washington,DC,20011,38.9543816,-76.99408846,5,3,1.5,3,$110.00,,,1,14,61
100%,100%,1,Washington,DC,20012,38.96703183,-77.00426408,2,1,1,1,$65.00,$100.00,$25.00,3,1000,21
33%,N/A,1,Washington,DC,20017,38.95464408,-76.98946963,1,1,1,1,$45.00,$250.00,$50.00,1,1125,0
N/A,N/A,1,Washington,DC,20011,38.95238241,-77.0102134,1,1,1,1,$75.00,,,2,14,0
N/A,N/A,1,Washington,DC,20012,38.9696983,-77.01091066,1,1,1,1,$50.00,,,5,1125,0
100%,100%,1,"Washington, D.C.",DC,20012,38.97121167,-77.01408368,6,3,1.5,3,$260.00,$500.00,$120.00,5,1125,12
100%,N/A,1,Washington,DC,20017,38.94208082,-77.00489056,6,2,1.5,2,"$1,500.00",,,1,5,0
N/A,N/A,2,Washington,DC,20011,38.96357524,-77.0054754,2,1,1,1,$200.00,,,2,1125,0
100%,100%,1,Washington ,DC,20011,38.95612769,-77.00100181,8,3,2,4,$250.00,$100.00,,1,1125,0
100%,100%,1,Washington,DC,20011,38.95469529,-76.99007179,2,1,1,1,$30.00,,$25.00,2,1125,4
N/A,N/A,1,New York,NY,20009,38.95419177,-77.00211353,4,2,1,2,$150.00,$100.00,$50.00,1,7,0
90%,100%,2,Washington,DC,20011,38.94814154,-77.01509562,4,2,1,2,$95.00,,$35.00,1,1125,3
N/A,N/A,1,Washington,DC,20011,38.95491522,-76.99601434,2,1,2,1,$200.00,,,1,1125,0
N/A,N/A,1,Washington,DC,20011,38.94211218,-77.00464908,2,1,1,1,$60.00,,,1,1125,1
N/A,N/A,1,Washington,DC,20011,38.94401971,-77.00309792,2,0,1,1,$175.00,,,2,7,0
80%,N/A,4,Washington,DC,20012,38.98913403,-77.04467461,12,1,,1,$99.00,$200.00,$50.00,1,365,1
100%,100%,1,Washington,DC,20012,38.98979262,-77.04603476,4,1,1,2,$90.00,,,1,1125,52
100%,100%,4,Washington,DC,20012,38.97965627,-77.02915369,2,1,1.5,1,$65.00,,$25.00,2,1125,1
80%,N/A,4,Washington,DC,20012,38.98890338,-77.04550172,12,1,,1,$99.00,$200.00,$50.00,1,365,0
80%,N/A,4,Washington,DC,20012,38.98787242,-77.04415673,12,1,,1,$99.00,$200.00,$50.00,1,1825,0
100%,67%,1,Washington,DC,20012,38.98103343,-77.0285591,2,1,1.5,1,$70.00,,$5.00,1,1125,11
100%,100%,4,Washington,DC,20012,38.97984,-77.02889647,2,1,1.5,1,$60.00,,$25.00,2,1125,8
100%,N/A,1,Washington,DC,20012,38.98450655,-77.02927213,2,1,1,1,$100.00,,,1,1125,0
100%,100%,1,Washington,DC,20012,38.98717321,-77.03564851,4,1,2,3,$99.00,$100.00,$20.00,2,365,18
100%,84%,3,Washington,DC,20012,38.98308097,-77.04020478,2,1,1.5,1,$60.00,,,1,1125,12
80%,N/A,4,Washington,DC,20012,38.98896978,-77.04528704,12,1,1,8,$99.00,$200.00,$50.00,1,1825,1
100%,N/A,1,Silver Spring,MD,20910,38.98749668,-77.0305291,7,3,2.5,4,$160.00,$150.00,$75.00,2,25,1
100%,84%,3,Washington,DC,20012,38.98270633,-77.03861319,2,1,1.5,1,$60.00,,,1,1125,17
100%,84%,3,Washington,DC,20012,38.98448977,-77.03978495,2,1,1.5,1,$55.00,,,1,1125,8
100%,100%,4,Washington,DC,20012,38.97873389,-77.02921502,2,1,1.5,1,$65.00,,,3,1125,1
50%,N/A,1,Washington,DC,20012,38.98753586,-77.03613399,2,1,1,1,$75.00,,,1,1125,2
96%,91%,3,Silver Spring,MD,20910,38.99297918,-77.03780219,2,1,1,1,$35.00,,,1,1125,24
96%,91%,3,Silver Spring,MD,20910,38.99267363,-77.03776316,2,1,1,1,$47.00,,,1,1125,12
N/A,N/A,2,Washington,DC,20015,38.95939122,-77.07037523,2,0,1,1,$115.00,,,1,1125,0
100%,0%,1,Washington,DC,20015,38.96145649,-77.06452924,8,5,3.5,4,$150.00,,,1,1125,0
90%,100%,2,Washington,DC,20015,38.96667256,-77.07698498,2,1,1,2,$97.00,,,1,1125,18
99%,89%,25,Washington,DC,20015,38.96714663,-77.05590461,6,2,1,3,$119.00,,$90.00,3,1125,10
100%,90%,4,Washington,DC,20015,38.9646134,-77.06510844,2,1,1,1,$68.00,$100.00,$5.00,2,1125,18
N/A,N/A,2,Washington,DC,20015,38.95749021,-77.07188079,2,0,1,1,$80.00,,,1,1125,1
100%,N/A,1,Washington,DC,20015,38.95818157,-77.06799567,2,1,1,1,$95.00,,,1,1125,12
100%,N/A,1,Washington,DC,20015,38.96135334,-77.07213743,3,0,1,1,$125.00,,$25.00,1,1125,0
90%,100%,2,Washington,DC,20015,38.97723478,-77.05834739,2,1,1,1,$125.00,,$100.00,3,90,2
100%,90%,4,Washington,DC,20015,38.96615266,-77.0634137,1,1,1,1,$55.00,$100.00,$15.00,1,1125,7
N/A,N/A,1,Washington,DC,20015,38.96721543,-77.05390172,2,1,1,1,$200.00,,,1,1125,0
100%,100%,1,"Washington, D.C.",DC,20015,38.96241247,-77.07625822,6,1,1,3,$160.00,,,1,1125,38
90%,100%,2,Washington,DC,20015,38.96138374,-77.07658157,6,1,1.5,2,$135.00,$195.00,$110.00,1,180,24
N/A,N/A,1,Washington,DC,20015,38.95950721,-77.072141,5,2,1,2,$145.00,$200.00,,3,7,4
100%,100%,1,Washington,DC,20015,38.95879135,-77.06812768,2,1,1,1,$59.00,$250.00,$60.00,7,1125,5
71%,100%,1,Washington,DC,20015,38.96328937,-77.07428788,2,1,1,1,$130.00,,$60.00,1,1125,2
100%,100%,1,Washington,DC,20015,38.95995188,-77.07439198,4,1,1,2,$135.00,,$20.00,2,1125,19
100%,90%,4,Washington,DC,20015,38.96497204,-77.06398583,2,1,1,1,$78.00,$100.00,$25.00,1,1125,2
100%,100%,1,Washington,DC,20015,38.96215388,-77.06080182,2,1,1,1,$90.00,,,2,14,0
100%,90%,4,Washington,DC,20015,38.96597616,-77.06517674,2,1,1,1,$58.00,$100.00,$10.00,2,1125,16
90%,70%,2,Washington,DC,20020,38.86258783,-76.98754096,1,1,1.5,1,$76.00,,$25.00,1,1125,2
100%,100%,4,Washington,DC,20020,38.86287553,-76.99045182,1,1,1,1,$42.00,,,3,1125,28
N/A,N/A,1,Washington,DC,20020,38.8661753,-76.98869603,7,2,3,2,$333.00,,,4,7,0
82%,94%,2,Washington,DC,20020,38.86151032,-76.98768693,2,1,1.5,1,$55.00,,,1,365,25
100%,67%,2,Washington,DC,20020,38.86464997,-76.97790017,1,1,1,1,$50.00,$200.00,$75.00,7,1125,2
99%,99%,8,Washington,DC,20020,38.86412881,-76.98235377,2,1,0.5,1,$58.00,,$19.00,1,1125,25
100%,100%,4,Washington,DC,20020,38.86293841,-76.99016089,2,1,1,1,$51.00,$95.00,,3,1125,35
100%,N/A,1,Washington,DC,20020,38.86161451,-76.98914691,2,1,1,1,$68.00,,,1,1125,2
99%,99%,8,Washington,DC,20020,38.86497748,-76.98081654,9,3,1,4,$199.00,,$58.00,2,1125,5
90%,67%,2,Washington,DC,20020,38.86192519,-76.98963435,3,1,1,1,$75.00,,,2,90,25
99%,99%,8,Washington,DC,20020,38.86549052,-76.98219485,4,1,1,2,$76.00,,$23.00,1,1125,26
99%,99%,8,Washington,DC,20020,38.86371449,-76.98248076,4,1,1,2,$71.00,,$17.00,1,1125,46
80%,100%,2,Washington,DC,20020,38.86127099,-76.98691091,3,1,1,2,$90.00,,$40.00,3,90,7
90%,100%,2,Washington,DC,20020,38.86425406,-76.99143137,1,1,1,1,$60.00,,$20.00,2,1125,0
100%,100%,1,Washington,DC,20020,38.86416784,-76.98855267,2,1,1.5,1,$75.00,,,2,90,19
90%,70%,2,Washington,DC,20020,38.86279838,-76.98706814,1,1,1.5,1,$76.00,,$25.00,3,1125,1
86%,88%,8,Washington,DC,20020,38.86611694,-76.98275941,1,1,1,1,$49.00,,,1,1125,0
99%,99%,8,Washington,DC,20020,38.8642819,-76.98207017,2,1,1,1,$59.00,,$14.00,1,1125,19
92%,92%,2,Washington,DC,20020,38.86411035,-76.98922088,1,1,2,1,$50.00,,,1,1125,24
99%,99%,8,Washington,DC,20020,38.86497266,-76.98066001,2,1,1,1,$53.00,,$19.00,1,1125,8
94%,93%,1,Washington,DC,20020,38.8612418,-76.98864804,2,1,2,1,$70.00,,,2,90,49
99%,99%,8,Washington,DC,20020,38.86538407,-76.98209991,1,1,1,1,$41.00,,$13.00,1,1125,12
80%,100%,2,Washington,DC,20020,38.86124528,-76.98876797,2,1,1,1,$65.00,,$35.00,3,21,10
100%,100%,4,Washington,DC,20020,38.8608549,-76.98814482,1,1,1,1,$45.00,$95.00,,3,360,24
99%,99%,8,Washington,DC,20020,38.86365572,-76.9825283,2,1,1,1,$56.00,,$19.00,1,1125,31
90%,67%,2,Washington,DC,20020,38.86176823,-76.98965947,2,1,1,2,$65.00,,,1,365,60
92%,92%,2,Washington,DC,20020,38.86323025,-76.98921575,2,1,2,1,$65.00,,,1,1125,57
N/A,N/A,1,Washington,DC,20020,38.86422225,-76.96571296,2,1,1,1,$28.00,,$50.00,3,1125,1
N/A,N/A,1,Washington,DC,20020,38.86279367,-76.95022342,4,2,1,2,"$1,000.00","$1,000.00",,2,6,0
100%,88%,1,Washington,DC,20020,38.86427432,-76.94926587,6,3,1,3,$129.00,,$55.00,2,1125,7
100%,100%,1,Washington,DC,20020,38.86232,-76.9617343,1,1,1,1,$49.00,,,1,1125,7
100%,N/A,1,Washington,DC,20020,38.86279751,-76.95330248,2,1,1,1,$100.00,,,1,1125,0
100%,N/A,1,Washington,DC,20020,38.8625539,-76.94961416,6,2,1.5,2,$76.00,$95.00,$65.00,5,180,31
N/A,N/A,1,Washington,DC,20020,38.86487719,-76.96198349,1,1,1.5,1,$50.00,,$5.00,1,3,0
88%,67%,1,Washington,DC,20020,38.86021024,-76.99207104,6,2,2,2,$175.00,,,1,30,16
100%,100%,2,Washington,DC,20020,38.85619005,-76.98689353,3,1,2,2,$80.00,$350.00,$50.00,5,365,1
91%,100%,1,Washington,DC,20020,38.8610343,-76.99183312,6,2,1.5,4,$117.00,,$30.00,1,1125,1
100%,100%,4,Washington,DC,20020,38.86094723,-76.98984481,1,1,1,1,$40.00,,,3,1125,0
90%,100%,2,Washington,DC,20020,38.86334761,-76.99294161,4,2,2,2,$52.00,,$20.00,2,1125,28
100%,N/A,1,Washington,DC,20020,38.8601463,-76.98934707,2,1,1,1,$75.00,,$5.00,1,1125,1
100%,100%,2,Washington,DC,20020,38.85869695,-76.98735768,3,1,1,1,$100.00,$300.00,$50.00,5,365,3
82%,94%,2,Washington,DC,20020,38.86047494,-76.98917608,3,1,1,2,$59.00,,,1,365,10
86%,88%,8,Washington,DC,20020,38.86737132,-76.98328645,6,3,1,4,$209.00,$150.00,$75.00,1,15,1
86%,88%,8,Washington,DC,20020,38.86709861,-76.98283285,2,1,1,1,$69.00,$95.00,$25.00,1,30,0
92%,100%,6,Washington,DC,20020,38.87117911,-76.96895603,2,1,2,1,$60.00,,$15.00,1,1125,48
92%,100%,6,Washington,DC,20020,38.87127849,-76.9678097,2,1,2,1,$54.00,,$15.00,2,1125,50
96%,88%,3,Washington,DC,20019,38.87597988,-76.9620601,1,1,1,1,$20.00,,,2,14,1
92%,100%,6,Washington,DC,20020,38.8709045,-76.96764648,2,1,1,1,$50.00,,$15.00,1,1125,58
86%,88%,8,Washington,DC,20020,38.86716086,-76.98327783,8,3,1,5,$214.00,$150.00,$75.00,1,213,1
90%,75%,2,Washington,DC,20020,38.87205169,-76.97594646,2,1,1,1,$69.00,,$42.00,1,1125,23
N/A,N/A,1,Washington,DC,20020,38.87413547,-76.97587859,2,1,1,1,$399.00,,,2,2,0
91%,93%,1,"Washington, D.C.",DC,20020,38.8696595,-76.98652129,2,1,1.5,1,$70.00,,,1,1125,22
92%,100%,6,Washington,DC,20020,38.86967493,-76.96784869,2,1,2,1,$60.00,,$15.00,1,1125,36
85%,100%,1,Washington,DC,20019,38.87426179,-76.96235387,2,1,2,1,$50.00,,$15.00,1,1125,0
92%,100%,6,Washington,DC,20020,38.86934328,-76.96769455,2,1,2,1,$54.00,,$15.00,1,1125,61
50%,100%,1,Washington,DC,20020,38.87387536,-76.97118009,4,1,1,1,$85.00,$250.00,$50.00,2,7,1
100%,N/A,1,Washington,DC,20020,38.87495807,-76.97171388,2,0,1,1,$65.00,,$10.00,5,1125,7
100%,90%,1,Washington,DC,20020,38.86945171,-76.96637749,4,1,1,3,$75.00,,$25.00,1,1125,14
86%,88%,8,Washington,DC,20020,38.86638416,-76.98287595,1,1,1,1,$45.00,$95.00,$25.00,1,1125,0
N/A,N/A,1,Washington,DC,20002,38.89712354,-76.97431952,4,1,,,$275.00,,,1,1125,0
92%,100%,6,Washington,DC,20020,38.86879886,-76.96947339,2,1,1,1,$55.00,,$15.00,2,1125,67
100%,100%,1,Washington,DC,20020,38.87186924,-76.96036372,7,3,3,3,$215.00,$500.00,$100.00,3,1125,0
80%,100%,1,Washington,DC,20020,38.86693614,-76.97671108,6,2,1,3,$80.00,,$30.00,3,90,125
100%,67%,2,Washington,DC,20020,38.86602599,-76.97662597,1,1,1,1,$50.00,$200.00,$75.00,14,1125,0
86%,88%,8,Washington,DC,20020,38.86679174,-76.98455065,2,1,1,1,$89.00,$95.00,$25.00,1,30,0
100%,100%,1,Washington,DC,20020,38.87355006,-76.97175043,2,1,1,1,$105.00,$250.00,$5.00,1,1125,7
90%,75%,2,Washington,DC,20020,38.87459172,-76.97434443,4,1,1,2,$105.00,,$42.00,1,1125,31
96%,88%,3,"Washington, D.C.",DC,20019,38.8762203,-76.96375087,1,1,2,1,$20.00,,,1,14,13
86%,88%,8,Washington,DC,20020,38.867759,-76.98257326,2,1,1,1,$79.00,$100.00,$75.00,1,1125,0
